user_id,stage,txn_amount,customer_type,channel,tat_minutes
549126726,KYC Completed,100000,Repeat,Web,19
515687248,KYC Completed,500000,Repeat,Branch,16
514120156,KYC Completed,10000,New,Branch,118
522796219,KYC Completed,100000,New,Mobile,50
519283540,KYC Completed,100000,Repeat,Branch,110
512768516,KYC Completed,500000,Repeat,Web,68
520734010,KYC Completed,10000,Repeat,Mobile,76
520462910,KYC Completed,10000,New,Mobile,63
513777413,KYC Completed,100000,Repeat,Branch,99
554043247,KYC Completed,50000,Repeat,Mobile,30
549203380,KYC Completed,100000,Repeat,Mobile,33
552731385,KYC Completed,100000,Repeat,Branch,8
566366664,KYC Completed,100000,New,Mobile,54
550043263,KYC Completed,100000,New,Web,96
521040093,KYC Completed,500000,Repeat,Branch,29
539857954,KYC Completed,10000,Repeat,Web,44
534492015,KYC Completed,500000,New,Web,36
513321631,KYC Completed,500000,New,Web,104
523785730,KYC Completed,500000,Repeat,Web,79
516426931,KYC Completed,100000,New,Mobile,41
518878628,KYC Completed,50000,New,Mobile,14
520077885,KYC Completed,10000,Repeat,Branch,42
533110775,KYC Completed,50000,Repeat,Branch,65
515616848,KYC Completed,500000,Repeat,Web,104
566367072,KYC Completed,500000,New,Web,118
515753999,KYC Completed,50000,Repeat,Branch,31
529080288,KYC Completed,50000,Repeat,Branch,85
562951051,KYC Completed,50000,Repeat,Branch,11
515963730,KYC Completed,500000,Repeat,Branch,77
566092612,KYC Completed,500000,New,Web,103
521009984,KYC Completed,10000,New,Branch,13
519036138,KYC Completed,10000,New,Mobile,63
545800562,KYC Completed,500000,New,Web,40
566346497,KYC Completed,50000,Repeat,Mobile,34
513270805,KYC Completed,50000,Repeat,Branch,99
516079233,KYC Completed,10000,Repeat,Mobile,23
566375241,KYC Completed,500000,Repeat,Branch,45
515818421,KYC Completed,10000,New,Mobile,59
548863560,KYC Completed,10000,Repeat,Web,91
536332763,KYC Completed,100000,New,Mobile,88
514459281,KYC Completed,100000,New,Web,10
545133685,KYC Completed,100000,New,Mobile,111
513321631,KYC Completed,50000,Repeat,Mobile,92
562851048,KYC Completed,500000,Repeat,Web,115
545337141,KYC Completed,500000,New,Web,26
512602573,KYC Completed,500000,New,Branch,74
545111246,KYC Completed,500000,Repeat,Web,28
566218086,KYC Completed,100000,New,Web,66
514964787,KYC Completed,50000,Repeat,Branch,46
515584888,KYC Completed,50000,Repeat,Web,26
521566575,KYC Completed,100000,Repeat,Web,86
551801600,KYC Completed,50000,Repeat,Mobile,20
561510761,KYC Completed,100000,Repeat,Branch,104
518324787,KYC Completed,500000,Repeat,Branch,17
524504326,KYC Completed,100000,Repeat,Mobile,41
528111192,KYC Completed,500000,Repeat,Branch,56
552207212,KYC Completed,500000,New,Mobile,28
548361675,KYC Completed,10000,Repeat,Web,87
566310891,KYC Completed,100000,Repeat,Branch,118
536034247,KYC Completed,10000,Repeat,Web,88
520235701,KYC Completed,100000,Repeat,Branch,95
516039497,KYC Completed,100000,Repeat,Web,21
562816398,KYC Completed,10000,New,Branch,20
546076557,KYC Completed,10000,Repeat,Branch,5
513178671,KYC Completed,100000,Repeat,Web,89
558712209,KYC Completed,50000,Repeat,Mobile,95
513933783,KYC Completed,500000,Repeat,Branch,5
532451183,KYC Completed,10000,New,Mobile,34
538744961,KYC Completed,500000,Repeat,Mobile,88
519119844,KYC Completed,50000,New,Mobile,28
549519807,KYC Completed,50000,New,Mobile,50
545946613,KYC Completed,50000,Repeat,Mobile,6
557198831,KYC Completed,10000,New,Mobile,19
542825991,KYC Completed,50000,Repeat,Branch,33
560474415,KYC Completed,10000,New,Mobile,103
518679773,KYC Completed,50000,New,Branch,66
566376300,KYC Completed,500000,Repeat,Branch,17
541910739,KYC Completed,500000,Repeat,Branch,87
516668532,KYC Completed,100000,Repeat,Web,69
517495805,KYC Completed,500000,Repeat,Mobile,49
513390928,KYC Completed,100000,Repeat,Web,51
564133858,KYC Completed,500000,New,Mobile,20
566311763,KYC Completed,10000,New,Web,111
558878370,KYC Completed,500000,New,Branch,7
561414438,KYC Completed,100000,Repeat,Web,108
543676870,KYC Completed,100000,Repeat,Branch,74
566393046,KYC Completed,50000,Repeat,Web,99
536894980,KYC Completed,10000,Repeat,Mobile,9
531564687,KYC Completed,500000,Repeat,Mobile,30
514915664,KYC Completed,50000,New,Web,96
566346497,KYC Completed,500000,New,Web,19
515768475,KYC Completed,500000,Repeat,Mobile,77
536869352,KYC Completed,50000,Repeat,Web,59
552409607,KYC Completed,50000,Repeat,Web,26
520176979,KYC Completed,50000,New,Mobile,41
531021848,KYC Completed,50000,Repeat,Branch,89
512596598,KYC Completed,50000,New,Mobile,110
566152517,KYC Completed,500000,New,Mobile,33
516801010,KYC Completed,50000,Repeat,Web,30
536869352,KYC Completed,10000,New,Mobile,74
564253172,KYC Completed,100000,Repeat,Mobile,15
535305779,KYC Completed,50000,New,Web,104
565961868,KYC Completed,50000,Repeat,Web,24
557254614,KYC Completed,500000,Repeat,Branch,112
515385868,KYC Completed,50000,New,Mobile,88
545043213,KYC Completed,50000,Repeat,Branch,95
539067034,KYC Completed,50000,New,Branch,74
541025276,KYC Completed,500000,Repeat,Branch,37
566369123,KYC Completed,50000,New,Branch,34
512748903,KYC Completed,100000,New,Mobile,54
566329768,KYC Completed,500000,New,Mobile,38
513016239,KYC Completed,100000,New,Mobile,9
529812305,KYC Completed,500000,Repeat,Branch,84
517865134,KYC Completed,50000,New,Web,16
512583935,KYC Completed,100000,New,Mobile,80
518818000,KYC Completed,500000,Repeat,Branch,79
521463763,KYC Completed,10000,New,Branch,56
516834207,KYC Completed,50000,Repeat,Branch,55
512411198,KYC Completed,500000,Repeat,Branch,25
565688075,KYC Completed,10000,Repeat,Branch,75
553656865,KYC Completed,500000,Repeat,Branch,62
547741420,KYC Completed,10000,Repeat,Mobile,102
512770559,KYC Completed,50000,New,Web,68
518840496,KYC Completed,100000,Repeat,Mobile,97
529670915,KYC Completed,10000,Repeat,Mobile,10
538265919,KYC Completed,500000,Repeat,Branch,104
531428253,KYC Completed,50000,Repeat,Mobile,102
561080519,KYC Completed,10000,Repeat,Web,53
543689735,KYC Completed,500000,Repeat,Web,76
517518089,KYC Completed,500000,Repeat,Branch,41
536869352,KYC Completed,500000,Repeat,Web,14
559808633,KYC Completed,10000,Repeat,Branch,84
534606894,KYC Completed,10000,New,Web,70
565605919,KYC Completed,10000,Repeat,Web,60
562499799,KYC Completed,100000,Repeat,Mobile,87
520387091,KYC Completed,10000,New,Web,75
549967177,KYC Completed,10000,New,Branch,70
549353070,KYC Completed,10000,Repeat,Web,49
552160547,KYC Completed,100000,New,Web,91
551986541,KYC Completed,10000,New,Mobile,99
530187229,KYC Completed,500000,Repeat,Branch,72
512520457,KYC Completed,10000,New,Branch,68
518679773,KYC Completed,500000,Repeat,Branch,20
527000375,KYC Completed,500000,New,Mobile,14
514211900,KYC Completed,500000,New,Web,117
514340335,KYC Completed,100000,Repeat,Branch,25
514639042,KYC Completed,100000,Repeat,Web,96
566360927,KYC Completed,100000,New,Web,114
517420503,KYC Completed,10000,New,Web,16
518150690,KYC Completed,500000,Repeat,Mobile,17
522109937,KYC Completed,100000,New,Web,108
558766744,KYC Completed,100000,New,Mobile,85
544469663,KYC Completed,10000,New,Mobile,86
523552110,KYC Completed,100000,Repeat,Mobile,14
522132285,KYC Completed,10000,Repeat,Branch,96
554369005,KYC Completed,50000,Repeat,Mobile,17
566391439,KYC Completed,100000,Repeat,Branch,38
513068528,KYC Completed,50000,Repeat,Mobile,63
566171689,KYC Completed,10000,Repeat,Mobile,53
561414438,KYC Completed,500000,Repeat,Mobile,10
516428149,KYC Completed,100000,New,Mobile,16
563939115,KYC Completed,10000,Repeat,Web,33
561260500,KYC Completed,500000,Repeat,Web,81
560172924,KYC Completed,500000,Repeat,Mobile,30
521793571,KYC Completed,50000,New,Web,72
525191289,KYC Completed,10000,New,Branch,83
534919742,KYC Completed,500000,Repeat,Web,20
566336961,KYC Completed,100000,Repeat,Web,57
513013616,KYC Completed,100000,Repeat,Web,23
515934670,KYC Completed,50000,New,Mobile,51
557254614,KYC Completed,500000,Repeat,Branch,94
566385132,KYC Completed,10000,Repeat,Mobile,36
513014930,KYC Completed,100000,Repeat,Branch,74
513586466,KYC Completed,500000,Repeat,Mobile,74
523298376,KYC Completed,500000,Repeat,Web,65
566092612,KYC Completed,50000,Repeat,Branch,9
512740402,KYC Completed,100000,Repeat,Web,63
557910316,KYC Completed,100000,Repeat,Branch,6
533377891,KYC Completed,10000,New,Branch,6
560383794,KYC Completed,100000,New,Mobile,105
565722277,KYC Completed,10000,Repeat,Mobile,7
517550889,KYC Completed,100000,Repeat,Web,74
517836959,KYC Completed,50000,Repeat,Web,99
513345846,KYC Completed,100000,Repeat,Branch,47
549037563,KYC Completed,10000,New,Branch,9
521040093,KYC Completed,10000,Repeat,Mobile,54
512938045,KYC Completed,50000,Repeat,Mobile,114
539150572,KYC Completed,100000,New,Mobile,14
555260139,KYC Completed,100000,New,Mobile,31
559147681,KYC Completed,50000,Repeat,Mobile,28
514964329,KYC Completed,100000,New,Branch,26
547281440,KYC Completed,100000,Repeat,Branch,93
530561269,KYC Completed,10000,New,Web,7
536833356,KYC Completed,100000,Repeat,Branch,20
541331629,KYC Completed,100000,Repeat,Mobile,34
517921563,KYC Completed,50000,Repeat,Branch,116
529787844,KYC Completed,50000,Repeat,Branch,47
543672320,KYC Completed,500000,Repeat,Branch,8
533300908,KYC Completed,10000,New,Web,111
512589372,KYC Completed,100000,New,Web,44
526499452,KYC Completed,100000,Repeat,Branch,20
542869699,KYC Completed,500000,Repeat,Branch,108
514964329,KYC Completed,100000,Repeat,Mobile,109
512460204,KYC Completed,10000,New,Web,114
562951051,KYC Completed,500000,New,Mobile,76
542678927,KYC Completed,10000,New,Mobile,92
513341945,KYC Completed,500000,Repeat,Branch,20
562363949,KYC Completed,500000,Repeat,Branch,95
519485893,KYC Completed,50000,Repeat,Branch,70
564549977,KYC Completed,10000,Repeat,Mobile,59
551653969,KYC Completed,100000,New,Mobile,24
514729143,KYC Completed,100000,New,Mobile,55
563827236,KYC Completed,10000,New,Branch,88
543737590,KYC Completed,100000,Repeat,Branch,88
519170948,KYC Completed,100000,New,Branch,87
520864359,KYC Completed,10000,Repeat,Mobile,61
517531089,KYC Completed,500000,New,Mobile,55
557760558,KYC Completed,10000,Repeat,Web,22
566327011,KYC Completed,500000,Repeat,Branch,81
513084396,KYC Completed,100000,Repeat,Mobile,85
566359028,KYC Completed,100000,Repeat,Web,63
566311486,KYC Completed,100000,Repeat,Mobile,101
517087724,KYC Completed,50000,New,Mobile,32
515258778,KYC Completed,500000,Repeat,Branch,73
547482528,KYC Completed,50000,Repeat,Web,32
518658077,KYC Completed,50000,New,Mobile,93
556325945,KYC Completed,10000,New,Web,88
562812359,KYC Completed,50000,Repeat,Web,89
514120156,KYC Completed,10000,Repeat,Branch,17
562283224,KYC Completed,10000,Repeat,Web,10
547502100,KYC Completed,50000,Repeat,Branch,33
534012996,KYC Completed,500000,New,Branch,110
521907209,KYC Completed,500000,New,Branch,13
550087002,KYC Completed,500000,Repeat,Web,33
520238175,KYC Completed,500000,New,Mobile,42
566328915,KYC Completed,500000,Repeat,Branch,69
554841041,KYC Completed,50000,Repeat,Mobile,60
552759397,KYC Completed,50000,New,Web,34
562978002,KYC Completed,100000,Repeat,Mobile,118
543939301,KYC Completed,500000,New,Mobile,100
545598314,KYC Completed,50000,Repeat,Branch,63
515509708,KYC Completed,100000,New,Branch,91
530296939,KYC Completed,500000,Repeat,Branch,107
566378268,KYC Completed,10000,New,Web,62
547097527,KYC Completed,100000,Repeat,Mobile,14
516205526,KYC Completed,50000,Repeat,Web,112
562178400,KYC Completed,10000,New,Web,25
559514980,KYC Completed,10000,Repeat,Web,60
515334127,KYC Completed,10000,New,Web,30
519027406,KYC Completed,100000,Repeat,Branch,19
538340066,KYC Completed,50000,New,Mobile,85
537797200,KYC Completed,10000,Repeat,Branch,39
518329681,KYC Completed,500000,New,Branch,93
566295056,KYC Completed,10000,Repeat,Web,19
545991074,KYC Completed,10000,New,Branch,101
562929381,KYC Completed,100000,Repeat,Mobile,79
565514682,KYC Completed,100000,New,Web,92
554369005,KYC Completed,50000,Repeat,Branch,10
545910434,KYC Completed,500000,Repeat,Web,32
515544559,KYC Completed,100000,New,Mobile,67
517753745,KYC Completed,10000,Repeat,Web,33
563077038,KYC Completed,50000,New,Branch,52
519473080,KYC Completed,10000,New,Branch,67
560791187,KYC Completed,10000,Repeat,Mobile,62
566306980,KYC Completed,100000,Repeat,Mobile,25
562200921,KYC Completed,50000,Repeat,Web,80
513820668,KYC Completed,500000,New,Branch,26
541910739,KYC Completed,500000,New,Mobile,31
518324787,KYC Completed,100000,New,Mobile,89
515001980,KYC Completed,100000,Repeat,Branch,83
546990586,KYC Completed,50000,Repeat,Mobile,61
553061676,KYC Completed,500000,Repeat,Mobile,86
522530839,KYC Completed,500000,New,Branch,14
520026997,KYC Completed,500000,New,Mobile,26
566347475,KYC Completed,10000,New,Branch,48
513747178,KYC Completed,500000,New,Branch,88
554581792,KYC Completed,10000,New,Web,87
514734914,KYC Completed,50000,Repeat,Branch,32
520089354,KYC Completed,10000,Repeat,Mobile,105
566331891,KYC Completed,50000,Repeat,Web,54
542633023,KYC Completed,500000,Repeat,Web,55
513320225,KYC Completed,500000,New,Mobile,112
513320236,KYC Completed,50000,Repeat,Web,5
557947356,KYC Completed,100000,New,Mobile,38
530033953,KYC Completed,50000,Repeat,Web,39
558005931,KYC Completed,100000,Repeat,Mobile,94
518841261,KYC Completed,10000,New,Branch,65
516079233,KYC Completed,10000,Repeat,Branch,34
516359563,KYC Completed,10000,New,Web,80
544166901,KYC Completed,500000,Repeat,Web,82
514630070,KYC Completed,10000,Repeat,Branch,107
514314003,KYC Completed,100000,New,Mobile,72
518058687,KYC Completed,10000,Repeat,Web,80
555561884,KYC Completed,50000,Repeat,Branch,92
566359426,KYC Completed,50000,Repeat,Web,44
566337035,KYC Completed,500000,New,Branch,99
548194394,KYC Completed,50000,Repeat,Branch,69
515632327,KYC Completed,100000,New,Branch,41
534054030,KYC Completed,10000,New,Mobile,68
521572790,KYC Completed,500000,New,Web,5
519625664,KYC Completed,10000,New,Mobile,19
561403894,KYC Completed,10000,New,Mobile,17
566177960,KYC Completed,100000,Repeat,Branch,33
512813429,KYC Completed,50000,New,Mobile,59
512987361,KYC Completed,50000,New,Web,49
521627851,KYC Completed,10000,New,Web,8
539466577,KYC Completed,500000,Repeat,Branch,68
524698502,KYC Completed,50000,Repeat,Branch,19
520337789,KYC Completed,500000,New,Web,112
550701484,KYC Completed,50000,New,Web,108
566342796,KYC Completed,500000,New,Branch,52
536128147,KYC Completed,100000,New,Mobile,80
527312067,KYC Completed,500000,New,Web,60
560721751,KYC Completed,100000,Repeat,Branch,93
565992505,KYC Completed,100000,New,Branch,95
556325945,KYC Completed,500000,Repeat,Web,74
523207803,KYC Completed,100000,New,Branch,91
537913574,KYC Completed,10000,Repeat,Web,19
565997250,KYC Completed,100000,Repeat,Branch,43
526979701,KYC Completed,50000,Repeat,Branch,73
547697116,KYC Completed,500000,New,Mobile,91
515944570,KYC Completed,10000,New,Branch,83
537630778,KYC Completed,500000,Repeat,Web,93
564640532,KYC Completed,50000,Repeat,Web,64
514784807,KYC Completed,50000,Repeat,Mobile,98
563049218,KYC Completed,50000,Repeat,Web,48
562812359,KYC Completed,100000,Repeat,Branch,47
526517134,KYC Completed,100000,New,Mobile,8
514514462,KYC Completed,500000,Repeat,Web,81
516038226,KYC Completed,500000,New,Branch,54
566328915,KYC Completed,10000,New,Mobile,108
514987275,KYC Completed,10000,Repeat,Branch,43
523101529,KYC Completed,500000,New,Web,58
555948157,KYC Completed,100000,Repeat,Web,27
566310727,KYC Completed,50000,New,Web,64
516781128,KYC Completed,500000,Repeat,Web,84
513510657,KYC Completed,10000,Repeat,Mobile,39
559811480,KYC Completed,100000,Repeat,Web,58
565688075,KYC Completed,500000,New,Mobile,62
513310355,KYC Completed,500000,Repeat,Mobile,66
526738256,KYC Completed,100000,Repeat,Branch,84
562833536,KYC Completed,500000,Repeat,Web,52
566163988,KYC Completed,100000,New,Branch,11
558317838,KYC Completed,50000,Repeat,Branch,49
516029858,KYC Completed,100000,Repeat,Branch,17
516278990,KYC Completed,100000,Repeat,Branch,57
549067586,KYC Completed,100000,Repeat,Branch,119
519273701,KYC Completed,500000,Repeat,Web,118
516449098,KYC Completed,500000,New,Branch,97
530397259,KYC Completed,100000,New,Mobile,43
512655231,KYC Completed,500000,New,Mobile,88
559999758,KYC Completed,10000,Repeat,Web,118
553106132,KYC Completed,10000,Repeat,Mobile,97
518679773,KYC Completed,500000,New,Branch,22
514074113,KYC Completed,500000,Repeat,Mobile,26
532461180,KYC Completed,100000,Repeat,Branch,40
564255546,KYC Completed,50000,Repeat,Web,109
545910434,KYC Completed,500000,New,Mobile,57
564438023,KYC Completed,10000,New,Mobile,116
533892493,KYC Completed,100000,New,Mobile,104
541982118,KYC Completed,500000,New,Web,76
551066396,KYC Completed,10000,New,Web,7
566220000,KYC Completed,10000,New,Mobile,66
518618627,KYC Completed,50000,Repeat,Web,33
566345675,KYC Completed,100000,New,Branch,77
566366408,KYC Completed,100000,Repeat,Web,12
553338377,KYC Completed,50000,New,Mobile,98
553698588,KYC Completed,50000,New,Branch,80
566391956,KYC Completed,100000,New,Mobile,50
557691955,KYC Completed,100000,New,Mobile,96
542232930,KYC Completed,500000,Repeat,Mobile,60
566322656,KYC Completed,500000,New,Web,110
519034989,KYC Completed,50000,Repeat,Mobile,53
515119474,KYC Completed,500000,Repeat,Branch,47
512611856,KYC Completed,10000,Repeat,Branch,14
562099288,KYC Completed,500000,Repeat,Branch,17
524740555,KYC Completed,500000,Repeat,Mobile,61
530548201,KYC Completed,10000,New,Branch,6
515035668,KYC Completed,50000,Repeat,Branch,69
537418650,KYC Completed,10000,New,Branch,90
512875258,KYC Completed,500000,New,Branch,101
542728394,KYC Completed,50000,Repeat,Web,84
557907552,KYC Completed,500000,Repeat,Mobile,46
535080008,KYC Completed,10000,Repeat,Mobile,62
530155360,KYC Completed,10000,New,Branch,97
517118977,KYC Completed,500000,Repeat,Mobile,14
550163826,KYC Completed,100000,New,Branch,67
514292341,KYC Completed,100000,New,Branch,107
519602965,KYC Completed,10000,New,Branch,75
566277452,KYC Completed,10000,Repeat,Mobile,65
515026492,KYC Completed,100000,New,Web,5
528342287,KYC Completed,100000,Repeat,Mobile,30
545593577,KYC Completed,500000,Repeat,Mobile,113
549395178,KYC Completed,500000,Repeat,Web,9
566387049,KYC Completed,100000,Repeat,Mobile,39
514905545,KYC Completed,500000,Repeat,Web,17
565622861,KYC Completed,500000,Repeat,Branch,31
547713793,KYC Completed,50000,Repeat,Web,16
543983872,KYC Completed,500000,New,Branch,98
541328903,KYC Completed,10000,Repeat,Web,54
543596995,KYC Completed,500000,Repeat,Branch,100
538524222,KYC Completed,500000,New,Mobile,63
537730090,KYC Completed,100000,New,Web,35
519382136,KYC Completed,10000,Repeat,Mobile,73
513869102,KYC Completed,500000,New,Branch,41
514612056,KYC Completed,500000,Repeat,Web,6
529369877,KYC Completed,50000,New,Web,106
551348698,KYC Completed,500000,Repeat,Web,75
564549977,KYC Completed,500000,New,Mobile,69
531908918,KYC Completed,50000,Repeat,Branch,7
515413278,KYC Completed,100000,Repeat,Mobile,24
527945196,KYC Completed,500000,Repeat,Web,6
515956453,KYC Completed,50000,Repeat,Branch,46
513194292,KYC Completed,10000,New,Branch,47
539874405,KYC Completed,100000,New,Mobile,25
566369130,KYC Completed,10000,New,Mobile,49
555842087,KYC Completed,10000,Repeat,Web,100
559001201,KYC Completed,50000,New,Web,116
542858963,KYC Completed,500000,New,Web,24
514341193,KYC Completed,50000,Repeat,Web,47
516521593,KYC Completed,50000,Repeat,Branch,54
514057862,KYC Completed,50000,Repeat,Web,99
520991555,KYC Completed,50000,New,Web,47
512481774,KYC Completed,100000,New,Web,101
515796187,KYC Completed,500000,Repeat,Mobile,28
555585954,KYC Completed,10000,New,Mobile,86
564449209,KYC Completed,10000,Repeat,Mobile,88
537517098,KYC Completed,500000,Repeat,Web,64
562363949,KYC Completed,10000,Repeat,Branch,36
520871263,KYC Completed,500000,New,Web,9
561428438,KYC Completed,10000,Repeat,Mobile,6
564785263,KYC Completed,50000,Repeat,Mobile,30
560860500,KYC Completed,10000,Repeat,Web,29
562205455,KYC Completed,500000,New,Branch,54
564255546,KYC Completed,500000,New,Branch,90
566345411,KYC Completed,500000,New,Branch,43
545718744,KYC Completed,500000,Repeat,Mobile,90
566372143,KYC Completed,500000,Repeat,Mobile,79
548863560,KYC Completed,100000,New,Branch,15
566374065,KYC Completed,100000,Repeat,Web,67
512830409,KYC Completed,10000,New,Branch,113
516029858,KYC Completed,500000,Repeat,Web,72
513637817,KYC Completed,10000,Repeat,Mobile,101
539052347,KYC Completed,500000,New,Mobile,22
566328693,KYC Completed,500000,New,Mobile,99
539067034,KYC Completed,100000,New,Branch,112
564616190,KYC Completed,100000,Repeat,Branch,32
545545284,KYC Completed,50000,Repeat,Mobile,46
552038407,KYC Completed,100000,Repeat,Mobile,64
536778033,KYC Completed,50000,New,Mobile,26
565097608,KYC Completed,50000,Repeat,Branch,44
513351197,KYC Completed,50000,New,Branch,66
549459579,KYC Completed,50000,Repeat,Mobile,7
556084439,KYC Completed,50000,New,Branch,75
513924669,KYC Completed,10000,Repeat,Branch,67
554551310,KYC Completed,100000,Repeat,Branch,24
551777177,KYC Completed,50000,Repeat,Branch,111
552818203,KYC Completed,500000,Repeat,Mobile,75
519580496,KYC Completed,100000,New,Mobile,75
565853158,KYC Completed,100000,New,Branch,97
513669613,KYC Completed,50000,Repeat,Mobile,30
516438337,KYC Completed,10000,New,Mobile,45
513186573,KYC Completed,50000,New,Mobile,7
516834207,KYC Completed,10000,Repeat,Web,47
564089635,KYC Completed,500000,Repeat,Mobile,21
566384405,KYC Completed,100000,New,Mobile,108
552409607,KYC Completed,500000,New,Branch,88
563626542,KYC Completed,10000,New,Branch,102
566314533,KYC Completed,10000,Repeat,Web,57
530061409,KYC Completed,500000,Repeat,Web,56
566367813,KYC Completed,10000,Repeat,Mobile,37
516370497,KYC Completed,500000,Repeat,Mobile,84
559565084,KYC Completed,100000,New,Branch,64
513263379,KYC Completed,500000,Repeat,Mobile,91
547697116,KYC Completed,100000,Repeat,Mobile,72
519195352,KYC Completed,500000,New,Mobile,60
547864701,KYC Completed,10000,Repeat,Mobile,109
552026815,KYC Completed,500000,Repeat,Mobile,68
512655773,KYC Completed,10000,Repeat,Mobile,108
562851048,KYC Completed,500000,Repeat,Mobile,101
534620694,KYC Completed,500000,New,Mobile,12
530717866,KYC Completed,50000,New,Branch,73
566360466,KYC Completed,10000,Repeat,Web,37
546881341,KYC Completed,50000,New,Mobile,29
547457604,KYC Completed,10000,Repeat,Branch,75
518324787,KYC Completed,50000,Repeat,Mobile,115
565365933,KYC Completed,100000,Repeat,Mobile,11
514552539,KYC Completed,500000,Repeat,Web,63
533693945,KYC Completed,10000,Repeat,Branch,37
562623327,KYC Completed,10000,Repeat,Mobile,45
556325945,KYC Completed,500000,Repeat,Web,37
548709624,KYC Completed,10000,New,Web,33
557448350,KYC Completed,10000,New,Mobile,112
566198745,KYC Completed,50000,New,Mobile,43
566342796,KYC Completed,10000,New,Branch,61
520721827,KYC Completed,100000,New,Branch,109
512486431,KYC Completed,100000,New,Mobile,100
533011517,KYC Completed,500000,Repeat,Mobile,105
513373713,KYC Completed,10000,Repeat,Web,112
530354604,KYC Completed,500000,New,Branch,97
522338039,KYC Completed,100000,Repeat,Mobile,68
512722770,KYC Completed,10000,Repeat,Mobile,90
535751928,KYC Completed,10000,New,Branch,70
562137203,KYC Completed,500000,Repeat,Mobile,118
537497964,KYC Completed,100000,Repeat,Web,13
513375889,KYC Completed,10000,New,Web,33
552698268,KYC Completed,500000,Repeat,Mobile,101
558041021,KYC Completed,100000,New,Branch,78
554107471,KYC Completed,500000,Repeat,Web,32
520251637,KYC Completed,50000,New,Branch,114
562730236,KYC Completed,10000,Repeat,Branch,57
512888330,KYC Completed,50000,Repeat,Branch,50
515648622,KYC Completed,100000,Repeat,Web,43
515051763,KYC Completed,50000,New,Web,80
538641667,KYC Completed,50000,Repeat,Mobile,62
545539524,KYC Completed,100000,Repeat,Branch,90
561766012,KYC Completed,500000,Repeat,Web,58
566347817,KYC Completed,50000,Repeat,Web,10
522929556,KYC Completed,500000,Repeat,Mobile,49
546562692,KYC Completed,50000,Repeat,Web,44
560135066,KYC Completed,500000,Repeat,Web,27
535625215,KYC Completed,100000,Repeat,Web,102
519149368,KYC Completed,50000,Repeat,Mobile,46
563954331,KYC Completed,100000,Repeat,Mobile,42
542678927,KYC Completed,50000,New,Branch,20
518658077,KYC Completed,100000,Repeat,Web,78
566318706,KYC Completed,100000,Repeat,Mobile,51
532192596,KYC Completed,50000,New,Mobile,25
542779164,KYC Completed,50000,Repeat,Mobile,78
566347105,KYC Completed,50000,Repeat,Branch,79
536017300,KYC Completed,10000,New,Branch,25
523901861,KYC Completed,500000,Repeat,Branch,29
542043310,KYC Completed,10000,New,Branch,65
521793571,KYC Completed,10000,New,Branch,102
534619252,KYC Completed,100000,Repeat,Web,58
556018201,KYC Completed,50000,New,Web,99
551150254,KYC Completed,500000,New,Mobile,95
560450312,KYC Completed,100000,Repeat,Branch,93
545337141,KYC Completed,10000,New,Branch,64
552914400,KYC Completed,50000,Repeat,Mobile,46
566175227,KYC Completed,100000,Repeat,Web,65
566033600,KYC Completed,50000,New,Branch,36
519748587,KYC Completed,100000,New,Branch,57
543689735,KYC Completed,50000,Repeat,Branch,48
513203448,KYC Completed,10000,Repeat,Web,15
564742684,KYC Completed,500000,New,Web,51
566374487,KYC Completed,10000,Repeat,Branch,94
557760558,KYC Completed,500000,New,Branch,64
521809752,KYC Completed,50000,Repeat,Mobile,40
551058738,KYC Completed,100000,New,Mobile,105
514633827,KYC Completed,10000,New,Web,64
517853048,KYC Completed,500000,New,Mobile,37
551808646,KYC Completed,10000,Repeat,Branch,101
513645631,KYC Completed,500000,Repeat,Web,46
566367072,KYC Completed,10000,Repeat,Mobile,104
512373271,KYC Completed,500000,New,Web,17
566339140,KYC Completed,500000,New,Branch,18
513390928,KYC Completed,50000,New,Mobile,62
515637394,KYC Completed,500000,Repeat,Mobile,119
566312502,KYC Completed,50000,Repeat,Mobile,105
