user_id,stage,txn_amount,customer_type,channel,tat_minutes
0,Login,100000,Repeat,Branch,65
0,Initiated,100000,Repeat,Branch,25
0,KYC Completed,100000,Repeat,Branch,107
0,Quote Viewed,100000,Repeat,Branch,87
0,Beneficiary Added,100000,Repeat,Branch,91
1,Login,100000,Repeat,Mobile,28
1,Initiated,100000,Repeat,Mobile,7
1,KYC Completed,100000,Repeat,Mobile,26
1,Quote Viewed,100000,Repeat,Mobile,57
1,Beneficiary Added,100000,Repeat,Mobile,6
2,Login,500000,Repeat,Web,64
3,Login,10000,Repeat,Web,112
3,Initiated,10000,Repeat,Web,93
3,KYC Completed,10000,Repeat,Web,53
3,Quote Viewed,10000,Repeat,Web,95
4,Login,100000,New,Branch,51
4,Initiated,100000,New,Branch,66
4,KYC Completed,100000,New,Branch,55
4,Quote Viewed,100000,New,Branch,112
5,Login,100000,Repeat,Mobile,55
6,Login,100000,New,Branch,93
7,Login,500000,Repeat,Web,57
7,Initiated,500000,Repeat,Web,6
7,KYC Completed,500000,Repeat,Web,88
8,Login,500000,Repeat,Branch,12
8,Initiated,500000,Repeat,Branch,51
8,KYC Completed,500000,Repeat,Branch,39
8,Quote Viewed,500000,Repeat,Branch,82
8,Beneficiary Added,500000,Repeat,Branch,85
9,Login,500000,New,Web,58
9,Initiated,500000,New,Web,110
9,KYC Completed,500000,New,Web,8
9,Quote Viewed,500000,New,Web,58
10,Login,10000,Repeat,Web,78
10,Initiated,10000,Repeat,Web,66
10,KYC Completed,10000,Repeat,Web,104
10,Quote Viewed,10000,Repeat,Web,18
11,Login,100000,Repeat,Web,66
11,Initiated,100000,Repeat,Web,44
11,KYC Completed,100000,Repeat,Web,89
12,Login,500000,Repeat,Branch,30
12,Initiated,500000,Repeat,Branch,93
12,KYC Completed,500000,Repeat,Branch,64
12,Quote Viewed,500000,Repeat,Branch,113
12,Beneficiary Added,500000,Repeat,Branch,45
12,Payment Initiated,500000,Repeat,Branch,33
13,Login,100000,New,Mobile,92
13,Initiated,100000,New,Mobile,5
13,KYC Completed,100000,New,Mobile,112
13,Quote Viewed,100000,New,Mobile,12
13,Beneficiary Added,100000,New,Mobile,92
13,Payment Initiated,100000,New,Mobile,67
13,Completed,100000,New,Mobile,15
14,Login,100000,Repeat,Branch,9
14,Initiated,100000,Repeat,Branch,110
14,KYC Completed,100000,Repeat,Branch,107
14,Quote Viewed,100000,Repeat,Branch,45
14,Beneficiary Added,100000,Repeat,Branch,32
14,Payment Initiated,100000,Repeat,Branch,11
15,Login,10000,Repeat,Web,27
15,Initiated,10000,Repeat,Web,66
16,Login,500000,Repeat,Web,69
16,Initiated,500000,Repeat,Web,103
16,KYC Completed,500000,Repeat,Web,105
16,Quote Viewed,500000,Repeat,Web,51
16,Beneficiary Added,500000,Repeat,Web,82
16,Payment Initiated,500000,Repeat,Web,7
17,Login,10000,Repeat,Branch,107
17,Initiated,10000,Repeat,Branch,31
